ticker,signal_now,score_now,close_now,change_20d_pct_now,signal_prev,score_prev,close_prev,change_20d_pct_prev,score_change,signal_change
AMGN,WATCH,83,371.5,5.71,WATCH,83.0,371.5,5.71,0.0,UNCHANGED
CP.TO,WATCH,83,130.06,7.69,WATCH,83.0,130.06,7.69,0.0,UNCHANGED
EWS,WATCH,83,31.44,6.04,WATCH,83.0,31.44,6.04,0.0,UNCHANGED
PM,WATCH,83,191.12,6.9,WATCH,83.0,191.12,6.9,0.0,UNCHANGED
RTX,WATCH,79,209.16,13.02,WATCH,79.0,209.16,13.02,0.0,UNCHANGED
CIB,WATCH,78,86.79,9.47,WATCH,78.0,86.79,9.47,0.0,UNCHANGED
JPM,WATCH,78,349.9,4.93,WATCH,78.0,349.9,4.93,0.0,UNCHANGED
MQG.AX,WATCH,78,255.04,2.28,WATCH,78.0,255.04,2.28,0.0,UNCHANGED
NWG.L,WATCH,78,676.0,2.99,WATCH,78.0,676.0,2.99,0.0,UNCHANGED
SLF.TO,WATCH,78,114.76,4.31,WATCH,78.0,114.76,4.31,0.0,UNCHANGED
4502.T,WATCH,74,5648.0,11.75,WATCH,74.0,5648.0,11.75,0.0,UNCHANGED
ALV.DE,WATCH,74,427.1,4.71,WATCH,74.0,427.1,4.71,0.0,UNCHANGED
BAC,WATCH,74,61.28,6.15,WATCH,74.0,61.28,6.15,0.0,UNCHANGED
BNP.PA,WATCH,74,105.92,4.75,WATCH,74.0,105.92,4.75,0.0,UNCHANGED
CNR.TO,WATCH,74,183.92,11.47,WATCH,74.0,183.92,11.47,0.0,UNCHANGED
ISP.MI,WATCH,74,6.44,8.17,WATCH,74.0,6.44,8.17,0.0,UNCHANGED
JNJ,WATCH,74,259.27,7.58,WATCH,74.0,259.27,7.58,0.0,UNCHANGED
MFC.TO,WATCH,74,60.69,7.32,WATCH,74.0,60.69,7.32,0.0,UNCHANGED
MRK,WATCH,74,130.48,8.19,WATCH,74.0,130.48,8.19,0.0,UNCHANGED
ZURN.SW,WATCH,74,623.0,5.77,WATCH,74.0,623.0,5.77,0.0,UNCHANGED
HON,WATCH,73,246.27,3.25,WATCH,73.0,246.27,3.25,0.0,UNCHANGED
HSBA.L,WATCH,73,1552.8,9.15,WATCH,73.0,1552.8,9.15,0.0,UNCHANGED
AAPL,WATCH,71,321.66,9.75,WATCH,71.0,321.66,9.75,0.0,UNCHANGED
EPU,WATCH,71,85.68,3.32,WATCH,71.0,85.68,3.32,0.0,UNCHANGED
LLOY.L,WATCH,71,113.5,3.94,WATCH,71.0,113.5,3.94,0.0,UNCHANGED
STAN.L,WATCH,71,2137.0,4.96,WATCH,71.0,2137.0,4.96,0.0,UNCHANGED
UBSG.SW,WATCH,71,42.31,5.85,WATCH,71.0,42.31,5.85,0.0,UNCHANGED
XLF,WATCH,71,55.83,3.93,WATCH,71.0,55.83,3.93,0.0,UNCHANGED
AIR.PA,WATCH,70,206.05,7.37,WATCH,70.0,206.05,7.37,0.0,UNCHANGED
BMO.TO,WATCH,70,248.95,1.39,WATCH,70.0,248.95,1.39,0.0,UNCHANGED
BNS.TO,WATCH,70,121.88,0.33,WATCH,70.0,121.88,0.33,0.0,UNCHANGED
UCG.MI,WATCH,70,80.43,4.33,WATCH,70.0,80.43,4.33,0.0,UNCHANGED
XLI,WATCH,70,181.94,0.96,WATCH,70.0,181.94,0.96,0.0,UNCHANGED
8316.T,WATCH,69,7161.0,12.95,WATCH,69.0,7161.0,12.95,0.0,UNCHANGED
8766.T,WATCH,69,8116.0,18.48,WATCH,69.0,8116.0,18.48,0.0,UNCHANGED
BARC.L,WATCH,69,525.4,2.88,WATCH,69.0,525.4,2.88,0.0,UNCHANGED
7267.T,WATCH,67,1536.0,8.63,WATCH,67.0,1536.0,8.63,0.0,UNCHANGED
